AQI,PM2.5,PM10,CO,No2,So2,O3
143,107,113,27,68,1.57,52
88,60,86,20,44,1.09,56
88,61,101,20,39,0.91,66
174,136,190,33,39,0.92,71
108,80,111,16,51,0.96,67
65,39,63,13,33,0.74,80
45,28,42,11,37,0.83,58
48,32,46,8,36,0.87,47
76,55,56,7,30,1.61,27
40,24,36,10,17,0.76,61
41,22,38,18,17,0.81,69
45,29,43,18,23,0.83,72
62,44,62,22,50,1.04,55
90,65,89,24,65,1.16,47
108,80,110,23,100,1.29,9
109,66,131,23,48,1.04,50
88,44,124,15,40,0.82,63
72,46,69,7,43,0.87,58
100,74,98,12,36,1.05,57
67,43,72,17,39,0.84,68
65,45,66,18,49,0.83,68
106,77,123,30,69,1.05,47
99,66,123,25,67,1.07,42
133,96,111,27,53,1.11,48
97,70,63,20,38,0.99,71
96,71,85,15,68,1.02,38
115,85,131,31,90,1.38,35
177,134,204,30,123,1.81,26
194,147,163,30,110,1.66,16
46,27,26,9,36,0.66,64
70,50,71,19,53,0.8,42
126,94,113,31,68,1.17,16
98,72,94,36,66,1.18,34
156,118,142,37,98,1.45,32
107,79,90,25,89,1.13,22
65,46,27,13,43,0.84,58
64,46,58,19,43,0.83,39
132,100,112,32,63,1.23,22
152,115,143,31,83,1.48,24
132,99,158,34,94,1.66,27
162,122,161,33,111,1.62,26
126,95,64,19,71,1.33,40
180,137,160,26,57,1.42,26
120,89,115,33,64,1.3,34
48,29,48,16,45,0.8,36
39,27,32,10,48,0.71,27
78,56,62,15,41,0.93,42
74,46,56,19,30,0.84,51
67,25,81,17,19,0.67,53
64,27,76,17,33,0.8,46
69,44,84,16,74,1.04,26
88,65,84,17,96,1.15,7
60,43,49,10,77,1.23,4
41,26,33,7,41,0.8,49
63,39,67,14,41,0.87,41
80,58,65,16,40,0.99,41
99,71,75,15,77,1,29
88,63,82,21,59,1.09,19
89,44,125,28,52,0.97,26
67,41,81,36,57,1.05,20
94,70,90,49,80,1.19,6
132,100,118,31,79,1.71,14
103,76,100,25,80,1.29,14
55,33,55,15,68,0.83,25
65,46,58,14,81,1.18,9
92,67,60,12,68,1.44,5
147,112,116,18,51,1.37,20
80,57,96,38,64,1.26,22
94,69,92,27,68,1.17,8
213,168,197,37,59,1.62,27
252,202,238,52,79,2.01,24
78,44,87,36,51,0.86,30
61,36,66,31,46,0.85,29
82,60,90,33,72,1.28,17
76,54,75,16,69,0.92,15
93,68,60,13,67,1.33,8
205,158,176,27,85,1.78,20
144,109,139,25,87,1.4,11
236,189,227,34,78,2.11,12
84,61,66,18,61,1.12,18
192,147,173,30,62,1.58,33
131,97,136,29,84,1.63,19
100,71,109,31,63,1.21,26
62,41,72,28,53,0.93,31
96,71,108,21,77,1.02,28
142,107,145,35,83,1.4,21
195,152,179,35,78,1.59,28
82,59,78,26,55,1.19,27
125,94,142,30,71,1.47,46
116,86,118,19,68,1.22,52
66,44,69,17,69,1.09,22
78,57,85,24,69,1.24,16
43,19,42,13,40,0.68,32
53,36,51,13,34,1.25,11
73,53,75,17,38,1.72,9
84,62,85,17,48,1.25,22
71,46,73,24,46,1.01,50
54,29,56,16,45,0.62,59
72,51,68,21,67,0.9,24
50,35,37,12,40,1.09,28
132,99,111,21,35,1.41,78
134,100,110,23,55,1.44,64
94,69,76,18,48,1.56,40
69,49,44,17,49,1.31,34
40,25,39,12,37,0.74,47
64,46,63,26,56,0.8,19
60,40,58,15,63,0.83,24
50,30,35,10,64,1.06,13
47,31,48,9,54,1.15,32
56,38,48,12,51,1.26,27
28,17,22,8,29,0.71,50
60,42,40,12,33,0.76,33
67,47,58,23,28,0.77,52
65,46,56,23,47,0.8,40
112,84,111,44,96,1.14,18
126,95,110,35,89,1.28,15
140,105,127,26,91,1.81,20
54,30,59,11,27,0.75,57
75,36,95,23,49,0.8,78
85,53,107,17,58,0.83,85
56,36,54,12,40,0.65,76
42,24,34,9,42,0.67,65
49,30,46,12,49,0.68,43
45,20,37,9,29,0.58,90
45,21,36,12,43,0.61,57
90,66,95,23,54,1.13,54
85,55,107,28,49,0.85,74
88,56,110,32,60,0.91,59
121,90,156,32,80,1.36,67
108,78,136,23,76,0.99,85
140,105,169,36,104,1.24,70
95,65,95,21,70,0.84,79
89,63,99,23,67,0.87,75
76,49,74,15,67,0.81,60
68,44,65,13,54,0.82,70
71,46,66,13,57,0.78,74
79,53,79,16,52,0.73,74
70,46,77,16,53,0.85,68
116,86,121,20,50,1,82
118,84,125,15,54,0.89,67
77,55,89,15,48,0.76,62
77,52,85,14,40,0.88,68
70,43,89,17,46,0.82,79
76,52,92,17,43,1.03,43
97,66,139,42,79,1.21,35
67,48,73,18,67,0.81,40
61,35,63,25,45,0.74,53
48,27,49,25,41,0.64,60
87,56,81,15,36,0.84,115
101,61,91,22,54,1.12,106
105,62,97,23,46,1.09,118
117,78,107,15,37,1.04,143
60,34,41,11,30,0.91,76
64,36,53,19,30,1.02,92
47,23,43,23,37,0.81,74
44,19,36,13,31,0.6,82
51,16,32,12,33,0.57,95
62,26,49,17,43,0.61,106
73,36,70,21,48,0.8,99
75,54,76,23,52,0.99,58
66,39,64,27,50,0.78,76
53,24,55,14,46,0.62,65
45,29,35,9,56,0.76,40
56,33,52,21,50,0.74,54
71,43,76,29,59,0.9,73
62,37,67,16,58,0.69,79
51,33,49,17,43,0.6,70
78,56,86,16,45,0.77,87
85,58,80,14,52,0.79,76
52,32,55,14,45,0.65,62
54,34,44,14,37,0.84,63
62,41,63,28,46,0.88,61
58,38,57,19,41,0.6,72
70,43,67,22,40,0.65,77
72,39,55,19,29,0.6,90
56,31,59,15,28,0.64,92
35,13,23,8,27,0.57,59
38,21,38,10,32,0.78,42
79,43,86,20,33,0.81,94
75,44,76,20,31,0.8,100
87,49,89,21,33,0.81,109
78,39,79,18,37,0.72,105
95,48,92,18,40,0.76,116
56,27,54,12,24,0.55,72
44,17,44,9,24,0.51,27
37,11,36,8,24,0.51,18
32,9,31,7,18,0.43,25
28,14,26,6,21,0.56,34
35,16,29,14,23,0.57,56
60,35,66,20,43,0.82,81
79,54,86,20,46,0.82,99
86,42,60,14,33,0.68,111
54,28,51,10,31,0.66,85
58,37,50,10,40,0.85,63
75,39,58,13,32,0.83,105
78,50,73,12,35,0.78,95
62,32,52,11,30,0.67,95
55,34,53,13,35,0.84,50
60,40,57,22,39,0.91,72
37,22,28,9,49,0.7,46
35,17,25,14,35,0.6,61
32,15,23,15,32,0.71,56
68,45,70,18,41,0.97,84
98,71,106,20,47,1.12,99
119,84,116,17,51,1.09,99
132,96,125,39,57,1.32,115
124,87,103,17,41,1.02,119
99,68,85,14,36,0.89,110
82,56,75,13,37,0.85,108
55,34,46,14,39,0.83,87
91,67,87,21,60,0.94,73
102,73,98,15,46,0.91,115
86,60,52,9,44,0.72,72
54,30,40,12,41,0.58,77
46,22,30,9,41,0.54,69
42,23,37,11,36,0.56,77
56,38,49,15,42,0.63,64
58,40,54,13,37,0.61,37
45,24,43,8,21,0.52,40
20,7,16,8,13,0.57,37
32,14,32,8,18,0.65,58
84,57,94,12,38,0.9,109
136,91,125,16,54,1.07,121
66,40,59,16,39,0.74,75
46,27,47,8,25,0.65,63
48,31,49,8,32,0.72,34
44,28,43,8,40,0.75,31
43,25,42,8,26,0.65,45
46,26,46,10,35,0.78,42
67,47,75,13,45,0.85,76
62,43,59,12,38,0.89,58
84,61,79,12,54,1.1,46
78,54,60,14,40,0.91,54
52,29,54,15,43,0.93,58
68,43,66,13,40,0.92,68
66,38,63,14,36,0.82,83
61,32,64,16,33,0.74,81
61,31,64,19,31,0.71,83
59,23,62,18,30,0.67,80
65,31,66,21,30,0.73,95
90,61,76,12,31,0.71,106
71,51,55,9,51,0.97,24
39,20,33,11,31,0.62,63
47,22,43,17,46,0.58,68
89,48,78,24,40,0.8,119
133,77,123,26,52,0.84,105
60,30,50,12,30,0.66,81
46,31,33,8,41,0.8,46
70,46,57,18,38,0.84,63
68,44,61,14,34,0.77,67
100,55,132,18,39,0.97,79
112,59,154,20,49,0.83,112
102,69,128,26,47,0.88,86
70,41,83,20,40,0.76,73
66,46,64,15,50,0.8,38
51,34,42,5,45,0.85,81
